test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality,queryMode
a4d4041c-8bd1-40ea-ada1-51c59389a861,Q1,stgraph,mimic,1692200,1,46,-1,20,OPTIMIZED
6210d915-7071-4391-83a4-dd3f5da53819,Q1,stgraph,mimic,1692200,4,16,-1,20,OPTIMIZED
6352129c-4c5c-415e-ada9-38d2ab0a584e,Q1,stgraph,mimic,1692200,8,6,-1,20,OPTIMIZED
e464c125-1edb-431e-937d-a32b5a598596,Q1,stgraph,mimic,1692200,16,5,-1,20,OPTIMIZED
95052921-cda2-4131-a082-d997277808a1,Q1,stgraph,mimic,16922000,1,103,-1,503,OPTIMIZED
4c5b2aa4-39cb-4ba3-8ee5-55fd09dd6fce,Q1,stgraph,mimic,16922000,4,38,-1,503,OPTIMIZED
8caaac50-5616-469c-bbad-d6db4bd9ff5b,Q1,stgraph,mimic,16922000,8,87,-1,503,OPTIMIZED
70eb4e5c-8963-4604-a38a-ee47d34f0c97,Q1,stgraph,mimic,16922000,16,33,-1,503,OPTIMIZED
18c5060c-64cd-43e2-a7aa-c7475b2a4b3c,Q1,stgraph,mimic,full,1,6322,-1,65365,OPTIMIZED
b4ca0409-29c4-4e3f-88e7-d3e4ed2c28ed,Q1,stgraph,mimic,full,4,7928,-1,65365,OPTIMIZED
0c333d11-98ba-4596-8e58-38684770cfa2,Q1,stgraph,mimic,full,8,6006,-1,65365,OPTIMIZED
b39f6a23-71e2-4b88-a065-1cc627be1cfa,Q1,stgraph,mimic,full,16,6992,-1,65365,OPTIMIZED
e05dd246-6c72-49e7-8bab-2c2c543278f4,Q3,stgraph,mimic,1692200,1,374,-1,1,OPTIMIZED
c3c20c75-b275-4f6c-8223-035c83c25d62,Q3,stgraph,mimic,1692200,4,116,-1,1,OPTIMIZED
c31f1a91-3f5b-4842-8538-55edb5bf565f,Q3,stgraph,mimic,1692200,8,65,-1,1,OPTIMIZED
bd7be401-1632-4274-afd6-ca00445171a0,Q3,stgraph,mimic,1692200,16,65,-1,1,OPTIMIZED
fa9e785a-5dc9-470b-9797-14f7fa28d224,Q3,stgraph,mimic,16922000,1,7364,-1,1,OPTIMIZED
5bf499a7-d302-4780-a32e-16ba7d97e0fe,Q3,stgraph,mimic,16922000,4,2089,-1,1,OPTIMIZED
db43359c-6a1a-4fc8-b7e0-7f0995ebea29,Q3,stgraph,mimic,16922000,8,1493,-1,1,OPTIMIZED
