test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities
410fdc6e-052b-4ac1-bc10-b9db7b796d55,dtgraph,small,32,EnvironmentAggregate,edgesDirection,267,100
410fdc6e-052b-4ac1-bc10-b9db7b796d55,dtgraph,small,32,MaintenanceOwners,edgesDirection,203,100
410fdc6e-052b-4ac1-bc10-b9db7b796d55,dtgraph,small,32,EnvironmentOutlier,edgesDirection,611,8
410fdc6e-052b-4ac1-bc10-b9db7b796d55,dtgraph,small,32,AgentOutlier,edgesDirection,346,100
410fdc6e-052b-4ac1-bc10-b9db7b796d55,dtgraph,small,32,AgentHistory,edgesDirection,10,1
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,EnvironmentAggregate,edgesDirection,274,100
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,MaintenanceOwners,edgesDirection,197,100
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,EnvironmentOutlier,edgesDirection,621,8
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,AgentOutlier,edgesDirection,348,100
b5f31698-19d4-45d3-bfd1-b13817f508e9,dtgraph,small,32,AgentHistory,edgesDirection,14,1
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,EnvironmentAggregate,edgesDirection,274,100
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,MaintenanceOwners,edgesDirection,201,100
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,EnvironmentOutlier,edgesDirection,591,8
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,AgentOutlier,edgesDirection,346,100
779538e0-a93f-43fe-b168-9baf8bfa84c9,dtgraph,small,32,AgentHistory,edgesDirection,14,1
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,EnvironmentAggregate,edgesDirection,275,100
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,MaintenanceOwners,edgesDirection,196,100
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,EnvironmentOutlier,edgesDirection,589,8
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,AgentOutlier,edgesDirection,340,100
05d21eba-57c1-48cc-9857-164d26751a2c,dtgraph,small,32,AgentHistory,edgesDirection,12,1
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,EnvironmentAggregate,edgesDirection,269,100
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,MaintenanceOwners,edgesDirection,194,100
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,EnvironmentOutlier,edgesDirection,629,8
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,AgentOutlier,edgesDirection,342,100
adb835a5-e8f1-484d-8d62-c261bd7d6d05,dtgraph,small,32,AgentHistory,edgesDirection,15,1
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,EnvironmentCoverage,edgesDirection,0,10
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,EnvironmentAggregate,edgesDirection,267,100
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,MaintenanceOwners,edgesDirection,199,100
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,EnvironmentOutlier,edgesDirection,571,8
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,AgentOutlier,edgesDirection,367,100
