test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentCoverage,edgesDirection,16,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,MaintenanceOwners,edgesDirection,298182,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentOutlier,edgesDirection,275157,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentOutlier,edgesDirection,262831,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,small,1,MaintenanceOwners,edgesDirection,88878,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,MaintenanceOwners,edgesDirection,290735,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentCoverage,edgesDirection,13,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,AgentOutlier,edgesDirection,513072,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,AgentOutlier,edgesDirection,511110,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,small,1,EnvironmentCoverage,edgesDirection,15,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,AgentHistory,edgesDirection,18,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,small,1,AgentHistory,edgesDirection,11,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,small,1,AgentOutlier,edgesDirection,164972,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,AgentHistory,edgesDirection,15,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentOutlier,edgesDirection,268510,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,AgentHistory,edgesDirection,15,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,small,1,MaintenanceOwners,edgesDirection,90519,-1,1
431ccf6b-b363-440b-8b11-9200d9019662,aeong,large,1,EnvironmentCoverage,edgesDirection,18,-1,1
