test_id,model,datasetSize,queryName,queryType,queryTime,numEntities
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentCoverage,semantic,13,27
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentCoverage,spatial,610,23
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentAggregate,semantic,91,2426
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentAggregate,spatial,1392,0
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentAggregate,edgesDirection,223,200
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,MaintenanceOwners,edgesDirection,773,494
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,EnvironmentOutlier,edgesDirection,5195,8
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,AgentOutlier,semantic,2023,200
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,AgentHistory,semantic,21,1
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,AgentHistory,spatial,31764,1
d0e57a8d-9dfc-4dd3-9721-606ca443e245,dtgraph,large,AgentHistory,edgesDirection,20,1
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentCoverage,semantic,13,27
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentCoverage,spatial,602,23
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentAggregate,semantic,93,2426
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentAggregate,spatial,1456,0
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentAggregate,edgesDirection,230,200
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,MaintenanceOwners,edgesDirection,796,494
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,EnvironmentOutlier,edgesDirection,5357,8
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,AgentOutlier,semantic,2183,200
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,AgentHistory,semantic,22,1
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,AgentHistory,spatial,12413,1
6951eaa6-b697-4316-971b-4d51c2133b76,dtgraph,large,AgentHistory,edgesDirection,24,1
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentCoverage,semantic,15,27
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentCoverage,spatial,681,23
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentAggregate,semantic,139,2426
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentAggregate,spatial,1481,0
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentAggregate,edgesDirection,233,200
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,MaintenanceOwners,edgesDirection,836,494
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,EnvironmentOutlier,edgesDirection,5177,8
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,AgentOutlier,semantic,2038,200
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,AgentHistory,semantic,20,1
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,AgentHistory,spatial,11540,1
3821a556-6430-44c8-aeb0-b614ff848c8e,dtgraph,large,AgentHistory,edgesDirection,19,1
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentCoverage,semantic,17,27
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentCoverage,spatial,545,23
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentAggregate,semantic,174,2426
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentAggregate,spatial,1484,0
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentAggregate,edgesDirection,258,200
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,MaintenanceOwners,edgesDirection,811,494
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,EnvironmentOutlier,edgesDirection,5588,8
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,AgentOutlier,semantic,2121,200
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,AgentHistory,semantic,23,1
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,AgentHistory,spatial,21942,1
3b1c81f4-d9fa-40a2-9b36-b346c73ec334,dtgraph,large,AgentHistory,edgesDirection,19,1
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentCoverage,semantic,15,27
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentCoverage,spatial,608,23
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentAggregate,semantic,98,2426
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentAggregate,spatial,1584,0
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentAggregate,edgesDirection,288,200
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,MaintenanceOwners,edgesDirection,852,494
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,EnvironmentOutlier,edgesDirection,5389,8
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,AgentOutlier,semantic,2080,200
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,AgentHistory,semantic,24,1
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,AgentHistory,spatial,15580,1
cf7824a9-60ec-4c85-959d-768536bfba9a,dtgraph,large,AgentHistory,edgesDirection,21,1
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentCoverage,semantic,20,27
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentCoverage,spatial,579,23
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentAggregate,semantic,265,2426
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentAggregate,spatial,1437,0
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentAggregate,edgesDirection,267,200
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,MaintenanceOwners,edgesDirection,815,494
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,EnvironmentOutlier,edgesDirection,5260,8
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,AgentOutlier,semantic,2151,200
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,AgentHistory,semantic,32,1
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,AgentHistory,spatial,16104,1
a285428b-e773-4368-aab8-1a3d8c5700e2,dtgraph,large,AgentHistory,edgesDirection,22,1
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentCoverage,semantic,29,27
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentCoverage,spatial,787,23
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentAggregate,semantic,123,2426
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentAggregate,spatial,1771,0
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentAggregate,edgesDirection,254,200
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,MaintenanceOwners,edgesDirection,899,494
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,EnvironmentOutlier,edgesDirection,5978,8
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,AgentOutlier,semantic,2550,200
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,AgentHistory,semantic,21,1
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,AgentHistory,spatial,11671,1
b5ebab8c-3f04-41ff-8f47-e1423ad56962,dtgraph,large,AgentHistory,edgesDirection,20,1
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentCoverage,semantic,46,27
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentCoverage,spatial,826,23
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentCoverage,edgesDirection,1,23
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentAggregate,semantic,139,2426
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentAggregate,spatial,1662,0
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentAggregate,edgesDirection,257,200
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,MaintenanceOwners,edgesDirection,850,494
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,EnvironmentOutlier,edgesDirection,6543,8
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,AgentOutlier,semantic,2350,200
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,AgentHistory,semantic,21,1
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,AgentHistory,spatial,11606,1
cd8669cd-fe7b-459a-9119-ead1066a5f24,dtgraph,large,AgentHistory,edgesDirection,20,1
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentCoverage,semantic,25,27
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentCoverage,spatial,1098,23
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentAggregate,semantic,156,2426
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentAggregate,spatial,1585,0
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentAggregate,edgesDirection,303,200
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,MaintenanceOwners,edgesDirection,899,494
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,EnvironmentOutlier,edgesDirection,6543,8
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,AgentOutlier,semantic,2202,200
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,AgentHistory,semantic,22,1
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,AgentHistory,spatial,19048,1
5f376a9e-176f-4c10-9636-ba7498ade68e,dtgraph,large,AgentHistory,edgesDirection,21,1
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentCoverage,semantic,33,27
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentCoverage,spatial,1351,23
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentAggregate,semantic,281,2426
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentAggregate,spatial,1518,0
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentAggregate,edgesDirection,297,200
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,MaintenanceOwners,edgesDirection,863,494
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,EnvironmentOutlier,edgesDirection,7084,8
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,AgentOutlier,semantic,2375,200
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,AgentHistory,semantic,22,1
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,AgentHistory,spatial,23890,1
c112fe6b-654f-4670-9a7b-dee5126155c9,dtgraph,large,AgentHistory,edgesDirection,19,1
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentCoverage,semantic,45,27
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentCoverage,spatial,2002,23
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentCoverage,edgesDirection,3,23
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentAggregate,semantic,207,2426
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentAggregate,spatial,1575,0
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentAggregate,edgesDirection,308,200
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,MaintenanceOwners,edgesDirection,993,494
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,EnvironmentOutlier,edgesDirection,6790,8
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,AgentOutlier,semantic,1953,200
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,AgentHistory,semantic,23,1
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,AgentHistory,spatial,11493,1
0eb8394c-f590-450c-8bd8-a9b21bb01f5e,dtgraph,large,AgentHistory,edgesDirection,20,1
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentCoverage,semantic,20,27
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentCoverage,spatial,1862,23
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentAggregate,semantic,685,2426
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentAggregate,spatial,1263,0
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentAggregate,edgesDirection,373,200
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,MaintenanceOwners,edgesDirection,831,494
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,EnvironmentOutlier,edgesDirection,6768,8
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,AgentOutlier,semantic,1827,200
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,AgentHistory,semantic,22,1
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,AgentHistory,spatial,15167,1
24a68633-1fe1-49d2-9852-3b8ead9b04cf,dtgraph,large,AgentHistory,edgesDirection,19,1
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentCoverage,semantic,38,27
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentCoverage,spatial,1770,23
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentAggregate,semantic,321,2426
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentAggregate,spatial,1285,0
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentAggregate,edgesDirection,313,200
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,MaintenanceOwners,edgesDirection,819,494
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,EnvironmentOutlier,edgesDirection,6603,8
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,AgentOutlier,semantic,1797,200
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,AgentHistory,semantic,21,1
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,AgentHistory,spatial,19318,1
17e9d682-08dd-4a76-a19b-1991aee3624b,dtgraph,large,AgentHistory,edgesDirection,21,1
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentCoverage,semantic,29,27
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentCoverage,spatial,1726,23
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentAggregate,semantic,278,2426
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentAggregate,spatial,1255,0
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentAggregate,edgesDirection,315,200
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,MaintenanceOwners,edgesDirection,834,494
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,EnvironmentOutlier,edgesDirection,6509,8
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,AgentOutlier,semantic,1778,200
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,AgentHistory,semantic,21,1
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,AgentHistory,spatial,19062,1
466277c7-351f-45b1-99a7-c2dced33ffd5,dtgraph,large,AgentHistory,edgesDirection,19,1
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentCoverage,semantic,80,27
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentCoverage,spatial,1909,23
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentAggregate,semantic,851,2426
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentAggregate,spatial,1336,0
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentAggregate,edgesDirection,451,200
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,MaintenanceOwners,edgesDirection,860,494
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,EnvironmentOutlier,edgesDirection,6421,8
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,AgentOutlier,semantic,1864,200
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,AgentHistory,semantic,23,1
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,AgentHistory,spatial,9339,1
a84daa2b-eccf-4642-ac49-ee51be9b7413,dtgraph,large,AgentHistory,edgesDirection,25,1
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentCoverage,semantic,24,27
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentCoverage,spatial,1676,23
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentAggregate,semantic,565,2426
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentAggregate,spatial,1290,0
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentAggregate,edgesDirection,532,200
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,MaintenanceOwners,edgesDirection,979,494
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,EnvironmentOutlier,edgesDirection,6634,8
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,AgentOutlier,semantic,1837,200
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,AgentHistory,semantic,35,1
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,AgentHistory,spatial,10549,1
165faebd-6115-4bcb-9e75-1b0260f4e9bf,dtgraph,large,AgentHistory,edgesDirection,32,1
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentCoverage,semantic,25,27
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentCoverage,spatial,1775,23
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentAggregate,semantic,394,2426
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentAggregate,spatial,1277,0
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentAggregate,edgesDirection,327,200
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,MaintenanceOwners,edgesDirection,957,494
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,EnvironmentOutlier,edgesDirection,6702,8
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,AgentOutlier,semantic,1929,200
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,AgentHistory,semantic,22,1
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,AgentHistory,spatial,12645,1
44193e7b-74a4-41c7-a022-7dba1669708d,dtgraph,large,AgentHistory,edgesDirection,21,1
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentCoverage,semantic,53,27
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentCoverage,spatial,1751,23
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentAggregate,semantic,402,2426
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentAggregate,spatial,1291,0
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentAggregate,edgesDirection,435,200
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,MaintenanceOwners,edgesDirection,886,494
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,EnvironmentOutlier,edgesDirection,6419,8
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,AgentOutlier,semantic,1910,200
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,AgentHistory,semantic,32,1
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,AgentHistory,spatial,6768,1
f8d2e574-6d58-4584-b92d-56939bf59889,dtgraph,large,AgentHistory,edgesDirection,32,1
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,EnvironmentCoverage,edgesDirection,36,21
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,EnvironmentAggregate,edgesDirection,66759,100
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,MaintenanceOwners,edgesDirection,0
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,EnvironmentOutlier,edgesDirection,182529,1069182
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,AgentOutlier,edgesDirection,342674,100
455574d7-4d1f-47de-a077-2d0eb89000af,aeong,small,AgentHistory,edgesDirection,38,1
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentCoverage,semantic,42,20
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentCoverage,spatial,6571,19
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentCoverage,edgesDirection,20,19
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentAggregate,semantic,195,799
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentAggregate,spatial,4242,0
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentAggregate,edgesDirection,139,100
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,MaintenanceOwners,edgesDirection,1117,214
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,EnvironmentOutlier,edgesDirection,2317,8
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,AgentOutlier,semantic,872,100
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,AgentHistory,semantic,29,1
894a9c49-23e8-4e1c-97b3-59ac59b4d96f,dtgraph,small,AgentHistory,spatial,11061,1
