test_id,model,datasetSize,queryName,queryType,queryTime,numEntities
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentCoverage,semantic,88,27
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentCoverage,spatial,3788,23
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentCoverage,edgesDirection,25,23
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentAggregate,semantic,496,2426
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentAggregate,spatial,5748,0
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentAggregate,edgesDirection,288,200
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,MaintenanceOwners,edgesDirection,1662,494
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,EnvironmentOutlier,edgesDirection,7553,8
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,AgentOutlier,semantic,2194,200
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,AgentHistory,semantic,27,1
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,AgentHistory,spatial,24320,1
1069a008-2bcc-42b4-9d9c-808cbda365c2,dtgraph,large,AgentHistory,edgesDirection,23,1
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentCoverage,semantic,14,27
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentCoverage,spatial,650,23
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentCoverage,edgesDirection,2,23
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentAggregate,semantic,94,2426
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentAggregate,spatial,1598,0
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentAggregate,edgesDirection,242,200
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,MaintenanceOwners,edgesDirection,996,494
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,EnvironmentOutlier,edgesDirection,5185,8
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,AgentOutlier,semantic,1993,200
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,AgentHistory,semantic,21,1
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,AgentHistory,spatial,16258,1
0a279a0b-1c41-433b-bd59-62d5856ab8c1,dtgraph,large,AgentHistory,edgesDirection,20,1
